Timestamp,Enter your classifications: [Image #1 contains...],Enter your classifications: [Image #2 contains...],Enter your classifications: [Image #3 contains...],Enter your classifications: [Image #4 contains...],Enter your classifications: [Image #5 contains...],Enter your classifications: [Image #6 contains...],Enter your classifications: [Image #7 contains...],Enter your classifications: [Image #8 contains...],Enter your classifications: [Image #9 contains...],Enter your classifications: [Image #10 contains...],Enter your classifications: [Image #11 contains...],Enter your classifications: [Image #12 contains...]
6/7/2018 15:15:23,3 sources,1 source,1 source,1 source,2 sources,1 source,2 sources,2 sources,4 sources,1 source,3 sources,2 sources
6/7/2018 15:15:24,3 sources,1 source,1 source,1 source,1 source,1 source,1 source,1 source,4 sources,1 source,2 sources,1 source
6/7/2018 15:15:25,2 sources,1 source,1 source,1 source,1 source,1 source,1 source,1 source,4 sources,1 source,3 sources,1 source
6/7/2018 15:15:26,3 sources,1 source,1 source,1 source,1 source,1 source,1 source,1 source,3 sources,1 source,2 sources,1 source
6/7/2018 15:15:29,2 sources,2 sources,2 sources,1 source,1 source,2 sources,2 sources,1 source,3 sources,2 sources,3 sources,1 source
6/7/2018 15:15:32,3 sources,1 source,1 source,1 source,2 sources,1 source,1 source,2 sources,3 sources,1 source,3 sources,2 sources
6/7/2018 15:15:49,3 sources,1 source,1 source,1 source,2 sources,1 source,1 source,2 sources,4 sources,1 source,3 sources,1 source
6/7/2018 15:15:58,4 sources,1 source,1 source,1 source,1 source,1 source,2 sources,2 sources,4 sources,1 source,3 sources,2 sources
6/7/2018 15:16:03,3 sources,1 source,1 source,2 sources,1 source,1 source,2 sources,2 sources,3 sources,2 sources,2 sources,2 sources
6/7/2018 15:16:04,3 sources,1 source,1 source,1 source,1 source,1 source,1 source,1 source,3 sources,2 sources,2 sources,1 source
6/7/2018 15:16:19,3 sources,1 source,1 source,1 source,1 source,1 source,2 sources,1 source,4 sources,1 source,3 sources,1 source
6/7/2018 15:16:24,3 sources,1 source,1 source,1 source,1 source,1 source,1 source,1 source,3 sources,1 source,2 sources,1 source
6/7/2018 15:16:26,3 sources,1 source,1 source,1 source,1 source,1 source,1 source,1 source,3 sources,1 source,2 sources,1 source
6/7/2018 15:17:05,3 sources,1 source,1 source,1 source,1 source,1 source,2 sources,2 sources,4 sources,1 source,3 sources,2 sources
6/7/2018 15:17:13,3 sources,1 source,2 sources,2 sources,3 sources,1 source,2 sources,1 source,4 sources,2 sources,3 sources,1 source
6/7/2018 15:17:42,3 sources,2 sources,2 sources,1 source,1 source,1 source,2 sources,1 source,4 sources,1 source,2 sources,1 source
6/7/2018 15:18:22,3 sources,1 source,2 sources,1 source,1 source,1 source,1 source,2 sources,4 sources,1 source,2 sources,2 sources
6/7/2018 15:19:54,3 sources,1 source,1 source,1 source,1 source,1 source,1 source,2 sources,3 sources,1 source,2 sources,2 sources
